program,compilation_mean,compilation_stderr,setup_mean,setup_stderr,witness_mean,witness_stderr,proof_mean,proof_stderr
balances,567.037,2.8360395115567645,273.64,0.39182479077601734,173.65400000000002,0.3000822109578203,253.60699999999997,0.768438604501939
whitelist,537.897,1.849890717492976,241.644,0.30782101581565025,168.98999999999998,0.448159197904792,217.20300000000003,0.42889016983113337
merkle,806.9359999999999,2.798320607475529,366.494,1.6793287018594347,237.398,0.7489396949465743,243.339,0.6974739342003325

